trade_id,symbol,timestamp,entry_score,entry_price,pnl_usd,pnl_pct,hold_minutes,source
UNH_2026-02-19T16:59:00+00:00,UNH,2026-02-19T16:59:00+00:00,2.359,287.94,3.82,0.0382,5,simulation
UNH_2026-02-19T17:00:00+00:00,UNH,2026-02-19T17:00:00+00:00,2.359,287.9987,3.86,0.0386,5,simulation
UNH_2026-02-19T17:01:00+00:00,UNH,2026-02-19T17:01:00+00:00,2.359,287.87,9.38,0.0938,5,simulation
UNH_2026-02-19T17:02:00+00:00,UNH,2026-02-19T17:02:00+00:00,2.359,287.87,3.41,0.0341,5,simulation
UNH_2026-02-19T17:03:00+00:00,UNH,2026-02-19T17:03:00+00:00,2.359,287.87,4.17,0.0417,5,simulation
UNH_2026-02-19T17:04:00+00:00,UNH,2026-02-19T17:04:00+00:00,2.357,288.05,-6.77,-0.0677,5,simulation
UNH_2026-02-19T17:05:00+00:00,UNH,2026-02-19T17:05:00+00:00,2.357,288.11,-6.25,-0.0625,5,simulation
UNH_2026-02-19T17:06:00+00:00,UNH,2026-02-19T17:06:00+00:00,2.357,288.14,-6.25,-0.0625,5,simulation
UNH_2026-02-19T17:07:00+00:00,UNH,2026-02-19T17:07:00+00:00,2.357,287.9682,4.4,0.044,5,simulation
UNH_2026-02-19T17:08:00+00:00,UNH,2026-02-19T17:08:00+00:00,2.357,287.99,4.17,0.0417,5,simulation
UNH_2026-02-19T17:09:00+00:00,UNH,2026-02-19T17:09:00+00:00,2.357,287.855,10.25,0.1025,5,simulation
UNH_2026-02-19T17:10:00+00:00,UNH,2026-02-19T17:10:00+00:00,2.357,287.93,7.81,0.0781,5,simulation
UNH_2026-02-19T17:11:00+00:00,UNH,2026-02-19T17:11:00+00:00,2.357,287.96,6.25,0.0625,5,simulation
UNH_2026-02-19T17:12:00+00:00,UNH,2026-02-19T17:12:00+00:00,2.357,288.095,8.85,0.0885,5,simulation
UNH_2026-02-19T17:13:00+00:00,UNH,2026-02-19T17:13:00+00:00,2.357,288.11,10.07,0.1007,5,simulation
UNH_2026-02-19T17:14:00+00:00,UNH,2026-02-19T17:14:00+00:00,2.357,288.15,9.54,0.0954,5,simulation
UNH_2026-02-19T17:15:00+00:00,UNH,2026-02-19T17:15:00+00:00,2.357,288.155,8.33,0.0833,5,simulation
UNH_2026-02-19T17:16:00+00:00,UNH,2026-02-19T17:16:00+00:00,2.356,288.14,5.9,0.059,5,simulation
UNH_2026-02-19T17:17:00+00:00,UNH,2026-02-19T17:17:00+00:00,2.356,288.35,-2.86,-0.0286,5,simulation
UNH_2026-02-19T17:18:00+00:00,UNH,2026-02-19T17:18:00+00:00,2.356,288.4,-4.33,-0.0433,5,simulation
UNH_2026-02-19T17:19:00+00:00,UNH,2026-02-19T17:19:00+00:00,2.356,288.425,-8.49,-0.0849,5,simulation
SLB_2026-02-19T14:32:00+00:00,SLB,2026-02-19T14:32:00+00:00,2.568,51.45,58.31,0.5831,5,simulation
SLB_2026-02-19T14:33:00+00:00,SLB,2026-02-19T14:33:00+00:00,2.568,51.41,63.22,0.6322,5,simulation
SLB_2026-02-19T14:34:00+00:00,SLB,2026-02-19T14:34:00+00:00,2.568,51.615,39.72,0.3972,5,simulation
SLB_2026-02-19T14:35:00+00:00,SLB,2026-02-19T14:35:00+00:00,2.568,51.61,38.75,0.3875,5,simulation
SLB_2026-02-19T14:36:00+00:00,SLB,2026-02-19T14:36:00+00:00,2.568,51.6,11.63,0.1163,5,simulation
SLB_2026-02-19T14:37:00+00:00,SLB,2026-02-19T14:37:00+00:00,2.568,51.75,5.8,0.058,5,simulation
SLB_2026-02-19T14:38:00+00:00,SLB,2026-02-19T14:38:00+00:00,2.568,51.735,31.89,0.3189,5,simulation
SLB_2026-02-19T14:39:00+00:00,SLB,2026-02-19T14:39:00+00:00,2.568,51.82,55.0,0.55,5,simulation
SLB_2026-02-19T14:40:00+00:00,SLB,2026-02-19T14:40:00+00:00,2.568,51.81,14.48,0.1448,5,simulation
SLB_2026-02-19T14:41:00+00:00,SLB,2026-02-19T14:41:00+00:00,2.568,51.66,69.13,0.6913,5,simulation
SLB_2026-02-19T14:42:00+00:00,SLB,2026-02-19T14:42:00+00:00,2.568,51.78,71.46,0.7146,5,simulation
SLB_2026-02-19T14:43:00+00:00,SLB,2026-02-19T14:43:00+00:00,2.568,51.9,50.91,0.5091,5,simulation
SLB_2026-02-19T14:44:00+00:00,SLB,2026-02-19T14:44:00+00:00,2.568,52.105,0.96,0.0096,5,simulation
SLB_2026-02-19T14:45:00+00:00,SLB,2026-02-19T14:45:00+00:00,2.568,51.885,28.91,0.2891,5,simulation
SLB_2026-02-19T14:46:00+00:00,SLB,2026-02-19T14:46:00+00:00,2.568,52.0171,-1.69,-0.0169,5,simulation
SLB_2026-02-19T14:47:00+00:00,SLB,2026-02-19T14:47:00+00:00,2.568,52.15,-19.18,-0.1918,5,simulation
SLB_2026-02-19T14:48:00+00:00,SLB,2026-02-19T14:48:00+00:00,2.568,52.1642,-25.73,-0.2573,5,simulation
SLB_2026-02-19T14:49:00+00:00,SLB,2026-02-19T14:49:00+00:00,2.568,52.11,-15.35,-0.1535,5,simulation
SLB_2026-02-19T14:50:00+00:00,SLB,2026-02-19T14:50:00+00:00,2.568,52.035,16.34,0.1634,5,simulation
SLB_2026-02-19T14:51:00+00:00,SLB,2026-02-19T14:51:00+00:00,2.568,52.0083,8.02,0.0802,5,simulation
SLB_2026-02-19T14:52:00+00:00,SLB,2026-02-19T14:52:00+00:00,2.568,52.05,-32.66,-0.3266,5,simulation
SLB_2026-02-19T14:53:00+00:00,SLB,2026-02-19T14:53:00+00:00,2.568,52.03,9.61,0.0961,5,simulation
SLB_2026-02-19T14:54:00+00:00,SLB,2026-02-19T14:54:00+00:00,2.566,52.03,18.26,0.1826,5,simulation
